# file...... load_l671_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... load 63
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:01.330000 EST,TRUE,+59.9440978968,+2270.0177671,-401.425606378,-1546.13973983,-2099.77217101,-807.555349645,+2187.49055691
2000-01-01 00:00:01.340000 EST,TRUE,+59.9442066794,+2268.81448304,-408.0791672,-1552.28131576,-2095.2173682,-801.130544697,+2189.83357535
2000-01-01 00:00:01.350000 EST,TRUE,+59.9443922478,+2267.59073961,-414.731362196,-1558.41128268,-2090.64275648,-794.696530539,+2192.15802604
2000-01-01 00:00:01.360000 EST,TRUE,+59.9446488291,+2266.34993043,-421.377728013,-1564.52675146,-2086.05332392,-788.258853773,+2194.46469054
2000-01-01 00:00:01.370000 EST,TRUE,+59.9449706218,+2265.07844091,-428.067464232,-1570.52108953,-2081.69189661,-781.805591182,+2196.71320178
2000-01-01 00:00:01.380000 EST,TRUE,+59.9453845706,+2263.8019566,-434.683267,-1576.58858472,-2077.0826679,-775.376650993,+2198.97324464
2000-01-01 00:00:01.390000 EST,TRUE,+59.9458230127,+2262.50796609,-441.280491553,-1582.62851888,-2072.46532121,-768.955046035,+2201.20848804
2000-01-01 00:00:01.400000 EST,TRUE,+59.9463089277,+2261.20171219,-447.857203067,-1588.64142336,-2067.84489532,-762.544990263,+2203.42269694
2000-01-01 00:00:01.410000 EST,TRUE,+59.9468360037,+2259.88348971,-454.411439757,-1594.62545779,-2063.22275826,-756.148356897,+2205.61512007
2000-01-01 00:00:01.420000 EST,TRUE,+59.9473978359,+2258.55095728,-460.94149769,-1600.57780245,-2058.5981606,-749.765532942,+2207.78274042
2000-01-01 00:00:01.430000 EST,TRUE,+59.9479879422,+2257.2024616,-467.44548457,-1606.49577998,-2053.97096853,-743.397400328,+2209.92306851
2000-01-01 00:00:01.440000 EST,TRUE,+59.9486004103,+2255.83880649,-473.920803,-1612.37716249,-2049.34328175,-737.046635991,+2212.03548372
2000-01-01 00:00:01.450000 EST,TRUE,+59.9492304677,+2254.46257336,-480.364740296,-1618.22043899,-2044.71860391,-730.716867666,+2214.12092042
2000-01-01 00:00:01.460000 EST,TRUE,+59.9498740471,+2253.07586374,-486.774880058,-1624.02416816,-2040.09992221,-724.411233546,+2216.18002814
2000-01-01 00:00:01.470000 EST,TRUE,+59.9505272829,+2251.67919864,-493.149399683,-1629.78676523,-2035.48871449,-718.131595058,+2218.21232569
2000-01-01 00:00:01.480000 EST,TRUE,+59.9511861782,+2250.27211944,-499.486861899,-1635.50657775,-2030.88551304,-711.879007546,+2220.21664066
2000-01-01 00:00:01.490000 EST,TRUE,+59.9518467959,+2248.85447086,-505.78585257,-1641.18212126,-2026.29106862,-705.654651663,+2222.19208824
2000-01-01 00:00:01.500000 EST,TRUE,+59.9525056392,+2247.42702797,-512.044817391,-1646.81220543,-2021.7069131,-699.460276099,+2224.13855622
2000-01-01 00:00:01.510000 EST,TRUE,+59.9531598353,+2245.99110357,-518.262171313,-1652.39585885,-2017.13500448,-693.297913791,+2226.05640437
2000-01-01 00:00:01.520000 EST,TRUE,+59.9538070158,+2244.54778544,-524.43649416,-1657.93217035,-2012.57704386,-687.169345411,+2227.94587258
2000-01-01 00:00:01.530000 EST,TRUE,+59.9544450836,+2243.09759024,-530.566609217,-1663.42020844,-2008.03416997,-681.075865083,+2229.80680758
2000-01-01 00:00:01.540000 EST,TRUE,+59.9550720994,+2241.6407188,-536.651508239,-1668.85906587,-2003.50719195,-675.018468357,+2231.63885623
