# file...... Gen_1_Speed.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... diesel_dg 0
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2000-01-01 00:00:01.090000 EST,+376.800566981,+0.388371090881,+0.951506761744,-0.372220435688,+0.311707463344+0.978762593239j,+0.35661105017+0.969530779346j,+2477.13603517+88.9962432292j,-1161.49501011-2189.7608567j,-1315.64102506+2100.76461347j,+0.439915562927+0.387054071993j,+3706813.40106,+1744747.67059,+3705297.53363,+9833.57738369,+9880.92317598
2000-01-01 00:00:01.100000 EST,+376.792074413,+0.386421913028,+0.951469667773,-0.372413352723,+0.311898878262+0.978671079029j,+0.356796232562+0.969457697797j,+2477.3098333+83.6900354989j,-1166.17721986-2187.25826643j,-1311.13261343+2103.56823093j,+0.440003516275+0.386974080229j,+3706862.05314,+1744687.33955,+3706355.03122,+9836.60560534,+9881.11879727
2000-01-01 00:00:01.110000 EST,+376.784161045,+0.384390439106,+0.951397679997,-0.372598849103,+0.312084935701+0.978547370885j,+0.356975741441+0.969351507842j,+2477.40004921+78.1624331895j,-1171.00937184-2184.57259455j,-1306.39067737+2106.41016136j,+0.440121908207+0.386895708323j,+3706838.27392,+1744739.93503,+3707495.27562,+9839.83845112,+9881.19351985
2000-01-01 00:00:01.120000 EST,+376.776824012,+0.382282740557,+0.951315074577,-0.372777958947,+0.312265747808+0.978467755904j,+0.357149952678+0.969270879971j,+2477.53572605+72.4806411784j,-1175.99778648-2181.84919813j,-1301.53793957+2109.36855695j,+0.440224268521+0.386819726274j,+3706781.48557,+1744843.25469,+3708569.56281,+9842.88131984,+9881.29954547
2000-01-01 00:00:01.130000 EST,+376.769997114,+0.380104363044,+0.951249602897,-0.372951369872,+0.31244144868+0.978447088205j,+0.357319147192+0.96923503673j,+2477.75849601+66.6745555666j,-1181.1373891-2179.13907977j,-1296.62110691+2112.46452421j,+0.440290237942+0.386746456046j,+3706748.97594,+1744907.3653,+3709553.43776,+9845.67100929,+9881.50503457
2000-01-01 00:00:01.140000 EST,+376.763622142,+0.377860086596,+0.951206439473,-0.373119528684,+0.31261217818+0.978443636205j,+0.357483499376+0.969218134086j,+2478.00968713+60.7321160843j,-1186.40928821-2176.38539792j,-1291.60039892+2115.65328183j,+0.440336075878+0.386675504345j,+3706759.45099,+1744903.05663,+3710478.1082,+9848.29184705,+9881.7572878
2000-01-01 00:00:01.150000 EST,+376.757675884,+0.375554248808,+0.951170056477,-0.373282710827,+0.312778068476+0.978412985982j,+0.357643122639+0.969185542117j,+2478.21086868+54.6330705203j,-1191.79180738-2173.51010347j,-1286.4190613+2118.87703295j,+0.440389423715+0.386606262293j,+3706786.02795,+1744870.86249,+3711369.45352,+9850.81311167,+9881.96569975
2000-01-01 00:00:01.160000 EST,+376.752154479,+0.373191089148,+0.951124084282,-0.373441115561,+0.312939248315+0.978348471853j,+0.357798136356+0.969127308321j,+2478.33855204+48.3792228797j,-1197.27163999-2170.49375669j,-1281.06691205+2122.11453381j,+0.440461372398+0.386538428478j,+3706798.34407,+1744862.19006,+3712229.19012,+9853.23944662,+9882.09390023
2000-01-01 00:00:01.170000 EST,+376.747050504,+0.370774839671,+0.951066117261,-0.373594910018,+0.313095842368+0.978276026976j,+0.357948689764+0.969059767234j,+2478.42805741+41.9953817286j,-1202.84496129-2167.37935003j,-1275.58309612+2125.3839683j,+0.440541500556+0.386472189855j,+3706785.04573,+1744893.00915,+3713046.29268,+9855.54176926,+9882.17738937
2000-01-01 00:00:01.180000 EST,+376.742341997,+0.368309593626,+0.951005747418,-0.373744261909,+0.313247977157+0.978221532232j,+0.358094943019+0.969003282537j,+2478.52395947+35.50913246j,-1208.51016896-2164.21927902j,-1270.01379051+2128.71014656j,+0.440613529466+0.386407847309j,+3706762.11934,+1744938.27908,+3713816.45074,+9857.70920002,+9882.27102117
