# file...... triplex_main_power.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... triplex_meter 28
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power
2000-01-01 00:00:01.740000 EST,+1.73753989694e-09+142.663071588d
2000-01-01 00:00:01.750000 EST,+2.1883164534e-09-173.831077786d
2000-01-01 00:00:01.760000 EST,+1.23590040657e-09+175.029262546d
2000-01-01 00:00:01.770000 EST,+4.54648948583e-10-166.624492296d
2000-01-01 00:00:01.780000 EST,+8.38875087209e-10+2.11421500552d
2000-01-01 00:00:01.790000 EST,+1.28690626591e-09+97.7912311934d
2000-01-01 00:00:01.800000 EST,+2.27425981393e-09+144.081820354d
2000-01-01 00:00:01.810000 EST,+2.07391625493e-09-176.731593848d
2000-01-01 00:00:01.820000 EST,+1.23709700306e-09+2.75792530371d
2000-01-01 00:00:01.830000 EST,+3.73458899416e-09+24.0121008339d
2000-01-01 00:00:01.840000 EST,+1.70551768791e-09-21.3270532305d
2000-01-01 00:00:01.850000 EST,+9.10056902463e-10-156.026383318d
2000-01-01 00:00:01.860000 EST,+9.09982345618e-10-27.7658288766d
2000-01-01 00:00:01.870000 EST,+2.44161030944e-09-179.798805761d
2000-01-01 00:00:01.880000 EST,+9.59811364866e-10-146.379554649d
2000-01-01 00:00:01.890000 EST,+1.52629207962e-10-86.9614016337d
2000-01-01 00:00:01.900000 EST,+2.45078470531e-09+179.704875012d
2000-01-01 00:00:01.910000 EST,+1.62906180331e-09-172.307408484d
2000-01-01 00:00:01.920000 EST,+2.54414732835e-11+97.3406744285d
2000-01-01 00:00:01.930000 EST,+1.64093591371e-09+1.65770567595d
2000-01-01 00:00:01.940000 EST,+3.816415817e-10+100.22841111d
2000-01-01 00:00:01.950000 EST,+1.01777703975e-10-78.3235850333d
2000-01-01 00:00:01.960000 EST,+1.62872826994e-09-165.9796808d
2000-01-01 00:00:01.970000 EST,+1.52678876111e-10+104.573485447d
2000-01-01 00:00:01.980000 EST,+3.28254494634e-09+8.8959036111d
2000-01-01 00:00:01.990000 EST,+1.01789470523e-10-72.5328688289d
2000-01-01 00:00:02.000000 EST,+2.46204076774e-09+11.7865594638d
2000-01-01 00:00:02.010000 EST,+8.14374337232e-10-159.646575616d
2000-01-01 00:00:02.020000 EST,+1.63198053549e-09+18.2154715426d
2000-01-01 00:00:02.030000 EST,+8.39485397232e-10+9.18980429397d
2000-01-01 00:00:02.040000 EST,+0+0d
2000-01-01 00:00:02.050000 EST,+9.10586627712e-10+179.515320963d
2000-01-01 00:00:02.060000 EST,+1.28779654051e-09+9.06466926441d
2000-01-01 00:00:02.070000 EST,+1.2217432413e-09+28.9129038518d
2000-01-01 00:00:02.080000 EST,+9.10655153041e-10-176.245342754d
2000-01-01 00:00:02.090000 EST,+4.07265504875e-10+31.7196001562d
2000-01-01 00:00:02.100000 EST,+2.04652124352e-09-152.598358084d
2000-01-01 00:00:02.110000 EST,+1.01820152193e-09-2.37259688908d
