# file...... node_n630_freq.csv
# date...... Thu Nov 10 12:44:05 2016
# user...... jingkungao
# host...... (null)
# target.... node 49
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_frequency
2000-01-01 00:00:01.990000 EST,+60.4814973363
2000-01-01 00:00:02.000000 EST,+60.4773350417
2000-01-01 00:00:02.010000 EST,+60.4727426273
2000-01-01 00:00:02.020000 EST,+60.4677768995
2000-01-01 00:00:02.030000 EST,+60.4624897283
2000-01-01 00:00:02.040000 EST,+60.4569346922
2000-01-01 00:00:02.050000 EST,+60.451167584
2000-01-01 00:00:02.060000 EST,+60.4452419692
2000-01-01 00:00:02.070000 EST,+60.4392050731
2000-01-01 00:00:02.080000 EST,+60.4330974486
2000-01-01 00:00:02.090000 EST,+60.4269554826
2000-01-01 00:00:02.100000 EST,+60.4208136892
2000-01-01 00:00:02.110000 EST,+60.4147047429
2000-01-01 00:00:02.120000 EST,+60.4086579723
2000-01-01 00:00:02.130000 EST,+60.4026981535
2000-01-01 00:00:02.140000 EST,+60.3968456686
2000-01-01 00:00:02.150000 EST,+60.3911175833
2000-01-01 00:00:02.160000 EST,+60.3855285271
2000-01-01 00:00:02.170000 EST,+60.3800907877
2000-01-01 00:00:02.180000 EST,+60.3748139182
2000-01-01 00:00:02.190000 EST,+60.3697045092
2000-01-01 00:00:02.200000 EST,+60.3647664475
2000-01-01 00:00:02.210000 EST,+60.3600014559
2000-01-01 00:00:02.220000 EST,+60.3554095269
2000-01-01 00:00:02.230000 EST,+60.3509890726
2000-01-01 00:00:02.240000 EST,+60.3467369167
2000-01-01 00:00:02.250000 EST,+60.3426483603
2000-01-01 00:00:02.260000 EST,+60.3387174109
2000-01-01 00:00:02.270000 EST,+60.334937092
2000-01-01 00:00:02.280000 EST,+60.331299689
2000-01-01 00:00:02.290000 EST,+60.3277968994
2000-01-01 00:00:02.300000 EST,+60.3244199049
2000-01-01 00:00:02.310000 EST,+60.3211594884
2000-01-01 00:00:02.320000 EST,+60.3180061866
2000-01-01 00:00:02.330000 EST,+60.3149504616
2000-01-01 00:00:02.340000 EST,+60.3119828394
2000-01-01 00:00:02.350000 EST,+60.3090940014
2000-01-01 00:00:02.360000 EST,+60.3062748507
2000-01-01 00:00:02.370000 EST,+60.3035165802
2000-01-01 00:00:02.380000 EST,+60.3008107576
2000-01-01 00:00:02.390000 EST,+60.2981493789
2000-01-01 00:00:02.400000 EST,+60.2955249507
2000-01-01 00:00:02.410000 EST,+60.2929305086
2000-01-01 00:00:02.420000 EST,+60.2903596429
2000-01-01 00:00:02.430000 EST,+60.2878065225
2000-01-01 00:00:02.440000 EST,+60.2852658826
2000-01-01 00:00:02.450000 EST,+60.2827330751
2000-01-01 00:00:02.460000 EST,+60.2802040409
2000-01-01 00:00:02.470000 EST,+60.277675309
2000-01-01 00:00:02.480000 EST,+60.2751439798
2000-01-01 00:00:02.490000 EST,+60.2726077056
2000-01-01 00:00:02.500000 EST,+60.2700646681
2000-01-01 00:00:02.510000 EST,+60.2675135536
2000-01-01 00:00:02.520000 EST,+60.2649535246
2000-01-01 00:00:02.530000 EST,+60.2623841871
2000-01-01 00:00:02.540000 EST,+60.2598055562
2000-01-01 00:00:02.550000 EST,+60.2572180201
2000-01-01 00:00:02.560000 EST,+60.2546223047
2000-01-01 00:00:02.570000 EST,+60.252019438
2000-01-01 00:00:02.580000 EST,+60.249410713
2000-01-01 00:00:02.590000 EST,+60.2467976524
2000-01-01 00:00:02.600000 EST,+60.2441819723
2000-01-01 00:00:02.610000 EST,+60.2415655478
2000-01-01 00:00:02.620000 EST,+60.2389503803
2000-01-01 00:00:02.630000 EST,+60.236338566
2000-01-01 00:00:02.640000 EST,+60.2337322661
2000-01-01 00:00:02.650000 EST,+60.2311336786
2000-01-01 00:00:02.660000 EST,+60.2285450123
2000-01-01 00:00:02.670000 EST,+60.2259684629
2000-01-01 00:00:02.680000 EST,+60.223406191
2000-01-01 00:00:02.690000 EST,+60.2208603027
2000-01-01 00:00:02.700000 EST,+60.2183328318
2000-01-01 00:00:02.710000 EST,+60.2158257251
2000-01-01 00:00:02.720000 EST,+60.2133408284
2000-01-01 00:00:02.730000 EST,+60.210879876
2000-01-01 00:00:02.740000 EST,+60.2084444814
2000-01-01 00:00:02.750000 EST,+60.2060361299
2000-01-01 00:00:02.760000 EST,+60.2036561738
2000-01-01 00:00:02.770000 EST,+60.2013058284
2000-01-01 00:00:02.780000 EST,+60.19898617
2000-01-01 00:00:02.790000 EST,+60.1966981355
2000-01-01 00:00:02.800000 EST,+60.1944425234
2000-01-01 00:00:02.810000 EST,+60.1922199957
2000-01-01 00:00:02.820000 EST,+60.1900310812
2000-01-01 00:00:02.830000 EST,+60.1878761796
2000-01-01 00:00:02.840000 EST,+60.1857555671
2000-01-01 00:00:02.850000 EST,+60.1836694013
2000-01-01 00:00:02.860000 EST,+60.1816177286
2000-01-01 00:00:02.870000 EST,+60.1796004905
2000-01-01 00:00:02.880000 EST,+60.1776175312
2000-01-01 00:00:02.890000 EST,+60.175668605
2000-01-01 00:00:02.900000 EST,+60.1737533846
2000-01-01 00:00:02.910000 EST,+60.1718714682
2000-01-01 00:00:02.920000 EST,+60.1700223882
2000-01-01 00:00:02.930000 EST,+60.1682056187
2000-01-01 00:00:02.940000 EST,+60.166420583
2000-01-01 00:00:02.950000 EST,+60.1646666616
2000-01-01 00:00:02.960000 EST,+60.162943199
2000-01-01 00:00:02.970000 EST,+60.161249511
2000-01-01 00:00:02.980000 EST,+60.1595848912
2000-01-01 00:00:02.990000 EST,+60.1579486171
2000-01-01 00:00:03.000000 EST,+60.1563399564
2000-01-01 00:00:03.010000 EST,+60.1547581717
2000-01-01 00:00:03.020000 EST,+60.1532025262
2000-01-01 00:00:03.030000 EST,+60.151672288
2000-01-01 00:00:03.040000 EST,+60.150166734
2000-01-01 00:00:03.050000 EST,+60.1486851537
2000-01-01 00:00:03.060000 EST,+60.1472268527
2000-01-01 00:00:03.070000 EST,+60.145791155
2000-01-01 00:00:03.080000 EST,+60.1443774055
2000-01-01 00:00:03.090000 EST,+60.1429849723
2000-01-01 00:00:03.100000 EST,+60.1416132476
2000-01-01 00:00:03.110000 EST,+60.1402616497
2000-01-01 00:00:03.120000 EST,+60.1389296232
2000-01-01 00:00:03.130000 EST,+60.1376166398
2000-01-01 00:00:03.140000 EST,+60.1363221985
2000-01-01 00:00:03.150000 EST,+60.1350458257
2000-01-01 00:00:03.160000 EST,+60.1337870745
2000-01-01 00:00:03.170000 EST,+60.1325455249
2000-01-01 00:00:03.180000 EST,+60.1313207823
2000-01-01 00:00:03.190000 EST,+60.1301124772
2000-01-01 00:00:03.200000 EST,+60.128920264
2000-01-01 00:00:03.210000 EST,+60.1277438198
2000-01-01 00:00:03.220000 EST,+60.1265828434
2000-01-01 00:00:03.230000 EST,+60.1254370536
2000-01-01 00:00:03.240000 EST,+60.1243061882
2000-01-01 00:00:03.250000 EST,+60.1231900023
2000-01-01 00:00:03.260000 EST,+60.1220882673
2000-01-01 00:00:03.270000 EST,+60.1210007688
2000-01-01 00:00:03.280000 EST,+60.1199273059
2000-01-01 00:00:03.290000 EST,+60.1188676893
2000-01-01 00:00:03.300000 EST,+60.1178217401
2000-01-01 00:00:03.310000 EST,+60.1167892886
2000-01-01 00:00:03.320000 EST,+60.1157701729
2000-01-01 00:00:03.330000 EST,+60.1147642377
2000-01-01 00:00:03.340000 EST,+60.1137713333
2000-01-01 00:00:03.350000 EST,+60.1127913143
2000-01-01 00:00:03.360000 EST,+60.1118240392
2000-01-01 00:00:03.370000 EST,+60.1108693687
2000-01-01 00:00:03.380000 EST,+60.1099271654
2000-01-01 00:00:03.390000 EST,+60.1089972932
2000-01-01 00:00:03.400000 EST,+60.1080796162
2000-01-01 00:00:03.410000 EST,+60.1071739986
2000-01-01 00:00:03.420000 EST,+60.1062803037
2000-01-01 00:00:03.430000 EST,+60.105398394
2000-01-01 00:00:03.440000 EST,+60.1045281308
2000-01-01 00:00:03.450000 EST,+60.1036693735
2000-01-01 00:00:03.460000 EST,+60.1028219799
2000-01-01 00:00:03.470000 EST,+60.101985806
2000-01-01 00:00:03.480000 EST,+60.1011607055
2000-01-01 00:00:03.490000 EST,+60.1003465303
2000-01-01 00:00:03.500000 EST,+60.0995431305
2000-01-01 00:00:03.510000 EST,+60.0987503539
2000-01-01 00:00:03.520000 EST,+60.0979680468
2000-01-01 00:00:03.530000 EST,+60.0971960539
2000-01-01 00:00:03.540000 EST,+60.0964342182
2000-01-01 00:00:03.550000 EST,+60.0956823817
2000-01-01 00:00:03.560000 EST,+60.0949403851
2000-01-01 00:00:03.570000 EST,+60.0942080684
2000-01-01 00:00:03.580000 EST,+60.0934852712
2000-01-01 00:00:03.590000 EST,+60.0927718324
2000-01-01 00:00:03.600000 EST,+60.0920675913
2000-01-01 00:00:03.610000 EST,+60.0913723871
2000-01-01 00:00:03.620000 EST,+60.0906860595
2000-01-01 00:00:03.630000 EST,+60.0411112616
2000-01-01 00:00:03.640000 EST,+60.0255348129
2000-01-01 00:00:03.650000 EST,+60.0063968191
2000-01-01 00:00:03.660000 EST,+59.9852571795
2000-01-01 00:00:03.670000 EST,+59.9612693864
2000-01-01 00:00:03.680000 EST,+59.9351520336
2000-01-01 00:00:03.690000 EST,+59.9091624879
2000-01-01 00:00:03.700000 EST,+59.8848372617
2000-01-01 00:00:03.710000 EST,+59.861818665
2000-01-01 00:00:03.720000 EST,+59.838768894
2000-01-01 00:00:03.730000 EST,+59.8149660568
2000-01-01 00:00:03.740000 EST,+59.7908996067
2000-01-01 00:00:03.750000 EST,+59.7676240844
2000-01-01 00:00:03.760000 EST,+59.7457824104
2000-01-01 00:00:03.770000 EST,+59.725256834
2000-01-01 00:00:03.780000 EST,+59.7055938004
2000-01-01 00:00:03.790000 EST,+59.6865951241
2000-01-01 00:00:03.800000 EST,+59.6684941092
2000-01-01 00:00:03.810000 EST,+59.6516822673
2000-01-01 00:00:03.820000 EST,+59.6363596252
2000-01-01 00:00:03.830000 EST,+59.622444533
2000-01-01 00:00:03.840000 EST,+59.6097516809
2000-01-01 00:00:03.850000 EST,+59.5982012223
2000-01-01 00:00:03.860000 EST,+59.5878627733
2000-01-01 00:00:03.870000 EST,+59.5788435264
2000-01-01 00:00:03.880000 EST,+59.5711661607
2000-01-01 00:00:03.890000 EST,+59.5647496351
2000-01-01 00:00:03.900000 EST,+59.5594816065
2000-01-01 00:00:03.910000 EST,+59.5552915723
2000-01-01 00:00:03.920000 EST,+59.5521599521
2000-01-01 00:00:03.930000 EST,+59.5500743043
2000-01-01 00:00:03.940000 EST,+59.5489879534
2000-01-01 00:00:03.950000 EST,+59.5488181459
2000-01-01 00:00:03.960000 EST,+59.549495505
2000-01-01 00:00:03.970000 EST,+59.5509123701
2000-01-01 00:00:03.980000 EST,+59.5530320056
2000-01-01 00:00:03.990000 EST,+59.5558026833
2000-01-01 00:00:04.000000 EST,+59.5591612465
2000-01-01 00:00:04.010000 EST,+59.563034239
2000-01-01 00:00:04.020000 EST,+59.5673494962
2000-01-01 00:00:04.030000 EST,+59.572045101
2000-01-01 00:00:04.040000 EST,+59.5770684553
2000-01-01 00:00:04.050000 EST,+59.5823696578
2000-01-01 00:00:04.060000 EST,+59.5878968417
2000-01-01 00:00:04.070000 EST,+59.5935973399
2000-01-01 00:00:04.080000 EST,+59.5994220895
2000-01-01 00:00:04.090000 EST,+59.605328525
2000-01-01 00:00:04.100000 EST,+59.6112799078
2000-01-01 00:00:04.110000 EST,+59.6172427808
2000-01-01 00:00:04.120000 EST,+59.6231853772
2000-01-01 00:00:04.130000 EST,+59.6290781002
2000-01-01 00:00:04.140000 EST,+59.634894991
2000-01-01 00:00:04.150000 EST,+59.6406145136
2000-01-01 00:00:04.160000 EST,+59.6921755036
2000-01-01 00:00:04.170000 EST,+59.7092896354
2000-01-01 00:00:04.180000 EST,+59.7306542779
2000-01-01 00:00:04.190000 EST,+59.7585672868
2000-01-01 00:00:04.200000 EST,+59.7911431493
2000-01-01 00:00:04.210000 EST,+59.8237070558
2000-01-01 00:00:04.220000 EST,+59.8531215465
2000-01-01 00:00:04.230000 EST,+59.8797944569
2000-01-01 00:00:04.240000 EST,+59.9061729765
2000-01-01 00:00:04.250000 EST,+59.9339668095
2000-01-01 00:00:04.260000 EST,+59.9627588075
2000-01-01 00:00:04.270000 EST,+59.9909032605
2000-01-01 00:00:04.280000 EST,+60.0172353528
2000-01-01 00:00:04.290000 EST,+60.0418113729
2000-01-01 00:00:04.300000 EST,+60.0653711674
2000-01-01 00:00:04.310000 EST,+60.0883877687
2000-01-01 00:00:04.320000 EST,+60.110651746
2000-01-01 00:00:04.330000 EST,+60.1316015795
2000-01-01 00:00:04.340000 EST,+60.1508773754
2000-01-01 00:00:04.350000 EST,+60.1685369119
2000-01-01 00:00:04.360000 EST,+60.1848505329
2000-01-01 00:00:04.370000 EST,+60.199982925
2000-01-01 00:00:04.380000 EST,+60.2138749778
2000-01-01 00:00:04.390000 EST,+60.2263697037
2000-01-01 00:00:04.400000 EST,+60.2373956528
2000-01-01 00:00:04.410000 EST,+60.2470271259
2000-01-01 00:00:04.420000 EST,+60.2554050012
2000-01-01 00:00:04.430000 EST,+60.2626294418
