# file...... swing_node_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... node 52
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_frequency
2000-01-01 00:00:01.990000 EST,+60.4814959507
2000-01-01 00:00:02.000000 EST,+60.4773336861
2000-01-01 00:00:02.010000 EST,+60.472741313
2000-01-01 00:00:02.020000 EST,+60.4677756361
2000-01-01 00:00:02.030000 EST,+60.462488524
2000-01-01 00:00:02.040000 EST,+60.4569335534
2000-01-01 00:00:02.050000 EST,+60.4511665161
2000-01-01 00:00:02.060000 EST,+60.4452409767
2000-01-01 00:00:02.070000 EST,+60.4392041592
2000-01-01 00:00:02.080000 EST,+60.4330966155
2000-01-01 00:00:02.090000 EST,+60.4269547313
2000-01-01 00:00:02.100000 EST,+60.4208130198
2000-01-01 00:00:02.110000 EST,+60.4147041546
2000-01-01 00:00:02.120000 EST,+60.4086574639
2000-01-01 00:00:02.130000 EST,+60.4026977228
2000-01-01 00:00:02.140000 EST,+60.396845313
2000-01-01 00:00:02.150000 EST,+60.3911172996
2000-01-01 00:00:02.160000 EST,+60.3855283116
2000-01-01 00:00:02.170000 EST,+60.3800906365
2000-01-01 00:00:02.180000 EST,+60.374813827
2000-01-01 00:00:02.190000 EST,+60.3697044736
2000-01-01 00:00:02.200000 EST,+60.3647664627
2000-01-01 00:00:02.210000 EST,+60.3600015173
2000-01-01 00:00:02.220000 EST,+60.3554096297
2000-01-01 00:00:02.230000 EST,+60.350989212
2000-01-01 00:00:02.240000 EST,+60.3467370881
2000-01-01 00:00:02.250000 EST,+60.3426485591
2000-01-01 00:00:02.260000 EST,+60.3387176326
2000-01-01 00:00:02.270000 EST,+60.3349373324
2000-01-01 00:00:02.280000 EST,+60.331299944
2000-01-01 00:00:02.290000 EST,+60.3277971651
2000-01-01 00:00:02.300000 EST,+60.3244201777
2000-01-01 00:00:02.310000 EST,+60.3211597649
2000-01-01 00:00:02.320000 EST,+60.3180064637
2000-01-01 00:00:02.330000 EST,+60.3149507365
2000-01-01 00:00:02.340000 EST,+60.3119831096
2000-01-01 00:00:02.350000 EST,+60.3090942646
2000-01-01 00:00:02.360000 EST,+60.3062751048
2000-01-01 00:00:02.370000 EST,+60.3035168235
